taxonomic_chain,nmol
Fungi-Basidiomycota-Agaricomycetes-Russulales-Hericiaceae-Hericium-Hericium erinaceum,56
Viridiplantae-Streptophyta-Magnoliopsida-Dipsacales-Adoxaceae-Viburnum-Viburnum chingii,56
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Platycladus-Thuja orientalis,56
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Phyllanthaceae-Cathetus-Phyllanthus virgatus,56
Metazoa-Chordata-Mammalia-Rodentia-Sciuridae-Trogopterus-Trogopterus xanthipes,56
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Loganiaceae-Strychnos-Strychnos usambarensis,56
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Acanthospermum-Acanthospermum hispidum,56
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Solanum-Solanum vespertilio,56
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Melilotus-Melilotus officinalis,56
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Melia-Melia volkensii,56
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Caltha-Caltha palustris,56
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Orchidaceae-Himantoglossum-Himantoglossum hircinum,56
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Euphorbiaceae-Croton-Croton discolor,56
Fungi-Basidiomycota-Agaricomycetes-Agaricales-Tricholomataceae-Leucopaxillus-Leucopaxillus giganteus,56
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Erigeron-Erigeron annuus,56
Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Leptothorax-Leptothorax acervorum,56
Viridiplantae-Streptophyta-Magnoliopsida-Poales-Cyperaceae-Carex-Carex pumila,56
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Cedrelopsis-Cedrelopsis grevei,56
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Calophyllaceae-Calophyllum-Calophyllum lanigerum,56
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Clusiaceae-Garcinia-Garcinia conrauana,56
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Amaranthaceae-Amaranthus-Amaranthus caudatus,56
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Orchidaceae-Epidendrum-Epidendrum rigidum,56
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona senegalensis,55
Viridiplantae-Streptophyta-Magnoliopsida-Santalales-Santalaceae-Santalum-Santalum spicatum,55
Viridiplantae-Streptophyta-Magnoliopsida-Aquifoliales-Aquifoliaceae-Ilex-Ilex cornuta,55
Viridiplantae-Streptophyta-Magnoliopsida-Saxifragales-Paeoniaceae-Paeonia-Paeonia obovata,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Triphasia-Triphasia trifolia,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Burseraceae-Commiphora-Commiphora sphaerocarpa,55
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Trifolium-Trifolium resupinatum,55
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Lablab-Dolichos lablab,55
Viridiplantae-Streptophyta-Bryopsida-Hypnales-Brachytheciaceae-Homalothecium-Camptothecium lutescens,55
Viridiplantae-Streptophyta-Lycopodiopsida-Selaginellales-Selaginellaceae-Selaginella-Selaginella delicatula,55
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Hypericaceae-Psorospermum-Psorospermum febrifugum,55
Fungi-Ascomycota-Pezizomycetes-Pezizales-Tuberaceae-Tuber-Tuber borchii,55
Viridiplantae-Streptophyta-Jungermanniopsida-Jungermanniales-Adelanthaceae-Syzygiella-Syzygiella autumnalis,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Anacardiaceae-Tapirira-Tapirira guianensis,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia fragrans,55
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Lecythidaceae-Eschweilera-Eschweilera coriacea,55
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Cynanchum-Cynanchum wilfordii,55
Viridiplantae-Streptophyta-Lycopodiopsida-Lycopodiales-Lycopodiaceae-Diphasiastrum-Diphasiastrum thyoides,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Lactuca-Lactuca virosa,55
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Hypericaceae-Hypericum-Hypericum maculatum,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Senecio-Senecio latifolius,55
Bacillati-Bacillota-Bacilli-Bacillales-Paenibacillaceae-Paenibacillus-Paenibacillus polymyxa,55
Viridiplantae-Streptophyta-Magnoliopsida-Laurales-Atherospermataceae-Atherosperma-Atherosperma moschatum,55
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Picrodendraceae-Picrodendron-Picrodendron baccatum,55
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Nauclea-Nauclea orientalis,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Staehelina-Staehelina fruticosa,55
Bacillati-Cyanobacteriota-Cyanophyceae-Nostocales-Aphanizomenonaceae-Cylindrospermopsis-Cylindrospermopsis raciborskii,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Sapindaceae-Aesculus-Aesculus turbinata,55
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Davalliaceae-Davallia-Humata pectinata,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Aglaia-Aglaia rubiginosa,55
Viridiplantae-Streptophyta-Gnetopsida-Gnetales-Gnetaceae-Gnetum-Gnetum parvifolium,55
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Polyporaceae-Daedaleopsis-Daedaleopsis tricolor,55
Viridiplantae-Streptophyta-Magnoliopsida-Poales-Cyperaceae-Cyperus-Cyperus longus,55
nan-Bacillariophyta-Coscinodiscophyceae-Thalassiosirales-Thalassiosiraceae-Conticribra-Thalassiosira weissflogii,55
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Heptapleurum-Schefflera arboricola,55
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Ebenaceae-Diospyros-Diospyros montana,55
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Rosa-Rosa hybrid cultivar,55
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Salvia-Salvia dorystaechas,55
Viridiplantae-Streptophyta-Magnoliopsida-Aquifoliales-Aquifoliaceae-Ilex-Ilex brevicuspis,55
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Moraceae-Maclura-Maclura tinctoria,55
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Retama-Retama sphaerocarpa,55
Viridiplantae-Streptophyta-Magnoliopsida-Laurales-Lauraceae-Cinnamomum-Cinnamomum verum,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Waitzia-Waitzia acuminata,55
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Juniperus-Juniperus occidentalis,55
Viridiplantae-Streptophyta-Magnoliopsida-Proteales-Proteaceae-Macadamia-Macadamia ternifolia,55
Metazoa-Chordata-Chondrichthyes-Squaliformes-Etmopteridae-Etmopterus-Etmopterus spinax,55
Viridiplantae-Streptophyta-Magnoliopsida-Oxalidales-Oxalidaceae-Oxalis-Oxalis pes-caprae,55
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Heptapleurum-Schefflera heptaphylla,55
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces thioluteus,55
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Ixora-Ixora coccinea,55
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Ainsliaea-Ainsliaea dissecta,55
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Harrisonia-Harrisonia abyssinica,55
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Amaryllidaceae-Allium-Allium fistulosum,55
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Callitropsis-Xanthocyparis nootkatensis,55
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Ranunculus-Ranunculus peltatus,55
Metazoa-Chordata-Mammalia-Artiodactyla-Moschidae-Moschus-Moschus berezovskii,55
Viridiplantae-Streptophyta-Magnoliopsida-Liliales-Colchicaceae-Colchicum-Colchicum filifolium,55
Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Chromatiales-Chromatiaceae-Allochromatium-Allochromatium minutissimum,55
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Wrightia-Wrightia coccinea,55
nan-Rhodophyta-Florideophyceae-Corallinales-Corallinaceae-Hydrolithon-Hydrolithon reinboldii,55
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Scrophulariaceae-Scrophularia-Scrophularia glabrata,55
Viridiplantae-Streptophyta-Magnoliopsida-Boraginales-Heliotropiaceae-Heliotropium-Heliotropium indicum,55
Viridiplantae-Streptophyta-Magnoliopsida-Fagales-Fagaceae-Castanea-Castanea dentata,54
Viridiplantae-Streptophyta-Polypodiopsida-Gleicheniales-Gleicheniaceae-Dicranopteris-Dicranopteris pedata,54
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Gleditsia-Gleditsia japonica,54
Fungi-Ascomycota-Lecanoromycetes-Caliciales-Physciaceae-Tornabea-Tornabea scutellifera,54
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Styracaceae-Styrax-Styrax tonkinensis,54
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Oleaceae-Fraxinus-Fraxinus excelsior,54
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Kageneckia-Kageneckia angustifolia,54
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Asparagaceae-Yucca-Yucca schidigera,54
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Scopolia-Scopolia parviflora,54
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Penicilliopsis-Penicilliopsis zonata,54
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Solanum-Solanum elaeagnifolium,54
Viridiplantae-Streptophyta-Gnetopsida-Gnetales-Gnetaceae-Gnetum-Gnetum africanum,54
Fungi-Ascomycota-Sordariomycetes-Glomerellales-Plectosphaerellaceae-Furcasterigmium-Acremonium furcatum,54
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Vachellia-Vachellia rigidula,54
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Lidbeckia-Lidbeckia pectinata,54
Metazoa-Chordata-Ascidiacea-Stolidobranchia-Styelidae-Dendrodoa-Dendrodoa grossularia,54
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Mikania-Mikania micrantha,54
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Polypodiaceae-Selliguea-Phymatopteris hastata,54
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Calpurnia-Calpurnia aurea,54
nan-nan-Phaeophyceae-Dictyotales-Dictyotaceae-Dictyota-Dictyota bartayresiana,54
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Senegalia-Senegalia modesta,54
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Uvaria-Uvaria hamiltonii,54
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus tubingensis,54
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Vincetoxicum-Vincetoxicum sublanceolatum,54
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Blainvillea-Spilanthes acmella,54
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Pedaliaceae-Pedalium-Pedalium murex,54
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Violaceae-Viola-Viola philippica,54
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Consolida-Consolida pubescens,54
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Biancaea-Caesalpinia decapetala,54
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus taichungensis,54
Viridiplantae-Streptophyta-Cycadopsida-Cycadales-Zamiaceae-Ceratozamia-Ceratozamia fuscoviridis,54
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Lunasia-Lunasia amara,54
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Delphinium-Delphinium denudatum,54
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Oleaceae-Fraxinus-Fraxinus chinensis,54
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Delphinium-Delphinium gracile,54
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Thelypteridaceae-Oreopteris-Oreopteris quelpaertensis,54
Metazoa-Chordata-Actinopteri-Gadiformes-Gadidae-Melanogrammus-Melanogrammus aeglefinus,54
Metazoa-Arthropoda-Insecta-Hymenoptera-Apidae-Apis-Apis cerana,54
Viridiplantae-Streptophyta-Magnoliopsida-Boraginales-Boraginaceae-Lithospermum-Lithospermum officinale,54
Viridiplantae-Streptophyta-Jungermanniopsida-Jungermanniales-Trichocoleaceae-Trichocolea-Trichocolea tomentella,54
Metazoa-Chordata-Aves-Galliformes-Phasianidae-Gallus-Gallus gallus,54
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Thymelaeaceae-Pimelea-Pimelea simplex,54
Viridiplantae-Streptophyta-Pinopsida-Araucariales-Araucariaceae-Araucaria-Araucaria cunninghamii,54
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Lamium-Lamium amplexicaule,54
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Rubus-Rubus chamaemorus,54
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Taxaceae-Torreya-Torreya nucifera,54
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Malvaceae-Kydia-Kydia calycina,54
Viridiplantae-Streptophyta-Magnoliopsida-Austrobaileyales-Schisandraceae-Illicium-Illicium floridanum,54
Viridiplantae-Streptophyta-Magnoliopsida-Dipsacales-Adoxaceae-Viburnum-Viburnum suspensum,54
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Berberidaceae-Sinopodophyllum-Podophyllum hexandrum,54
Viridiplantae-Streptophyta-Magnoliopsida-Piperales-Piperaceae-Piper-Piper callosum,54
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Zinnia-Zinnia elegans,54
Viridiplantae-Streptophyta-Magnoliopsida-Vitales-Vitaceae-Vitis-Vitis betulifolia,53
Fungi-Basidiomycota-Agaricomycetes-Agaricales-Psathyrellaceae-Coprinopsis-Coprinopsis cinerea,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia santolinifolia,53
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Physalis-Physalis sordida,53
Viridiplantae-Streptophyta-Pinopsida-Pinales-Pinaceae-Pinus-Pinus pinaster,53
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Convolvulaceae-Ipomoea-Ipomoea aquatica,53
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Phaeolaceae-Phaeolus-Phaeolus schweinitzii,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Iostephane-Iostephane heterophylla,53
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Simaroubaceae-Ailanthus-Ailanthus triphysa,53
Viridiplantae-Streptophyta-Magnoliopsida-Fagales-Fagaceae-Quercus-Quercus ilex,53
Metazoa-Chordata-Amphibia-Anura-Myobatrachidae-Uperoleia-Uperoleia rugosa,53
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Acanthaceae-Asystasia-Asystasia gangetica,53
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Berberidaceae-Leontice-Leontice leontopetalum,53
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Plantaginaceae-Littorella-Plantago uniflora,53
Viridiplantae-Streptophyta-Magnoliopsida-Boraginales-Boraginaceae-Lithospermum-Lithospermum carolinense,53
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Nyctaginaceae-Boerhavia-Boerhavia diffusa,53
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Melaleuca-Callistemon citrinus,53
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Cleomaceae-Cleome-Cleome amblyocarpa,53
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Neltuma-Prosopis ruscifolia,53
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Oleaceae-Osmanthus-Osmanthus ilicifolius,53
Bacillati-Cyanobacteriota-Cyanophyceae-Nostocales-Scytonemataceae-Scytonema-Scytonema ocellatum,53
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Papaveraceae-Stylophorum-Stylophorum diphyllum,53
Viridiplantae-Streptophyta-Magnoliopsida-Alismatales-Araceae-Pistia-Pistia stratiotes,53
Fungi-Ascomycota-Dothideomycetes-Pleosporales-Corynesporascaceae-Corynespora-Corynespora cassiicola,53
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces roseoviolaceus,53
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Euphorbiaceae-Mallotus-Mallotus nudiflorus,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Phellinaceae-Phelline-Phelline lucida,53
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Euphorbiaceae-Euphorbia-Euphorbia prostrata,53
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Malvaceae-Althaea-Althaea officinalis,53
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Ferula-Ferula ammoniacum,53
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces mirabilis,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Psiadia-Psiadia altissima,53
Viridiplantae-Streptophyta-Magnoliopsida-Crossosomatales-Aphloiaceae-Aphloia-Aphloia theiformis,53
Viridiplantae-Streptophyta-Magnoliopsida-Austrobaileyales-Schisandraceae-Kadsura-Kadsura japonica,53
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Clavicipitaceae-Epichloe-Epichloe typhina,53
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Berberidaceae-Diphylleia-Diphylleia grayi,53
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Tropaeolaceae-Tropaeolum-Tropaeolum peregrinum,53
Fungi-Ascomycota-Lecanoromycetes-Peltigerales-Lobariaceae-Lobaria-Lobaria oregana,53
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Sapindaceae-Koelreuteria-Koelreuteria paniculata,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia arbuscula,53
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Gentianaceae-Gentiana-Gentiana crassicaulis,53
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Didiereaceae-Alluaudia-Alluaudia dumosa,53
Viridiplantae-Streptophyta-Magnoliopsida-Geraniales-Francoaceae-Bersama-Bersama abyssinica,53
Metazoa-Chordata-Actinopteri-Anguilliformes-Muraenidae-Gymnothorax-Gymnothorax javanicus,53
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Cynanchum-Cynanchum rostellatum,53
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Echinops-Echinops ritro,53
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Acacia-Acacia auriculiformis,52
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Calocedrus-Calocedrus macrolepis,52
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Acanthaceae-Phlogacanthus-Phlogacanthus curviflorus,52
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Vicia-Vicia amurensis,52
Bacillati-Actinomycetota-Actinomycetes-Mycobacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium marinum,52
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Baptisia-Baptisia australis,52
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Clavicipitaceae-Pochonia-Metacordyceps chlamydosporia,52
Viridiplantae-Streptophyta-Magnoliopsida-Arecales-Arecaceae-Elaeis-Elaeis guineensis,52
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Uncaria-Uncaria guianensis,52
Metazoa-Chordata-Mammalia-Artiodactyla-Moschidae-Moschus-Moschus moschiferus,52
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Malvaceae-Abutilon-Abutilon indicum,52
Viridiplantae-Streptophyta-Jungermanniopsida-Jungermanniales-Adelanthaceae-Syzygiella-Jamesoniella autumnalis,52
Viridiplantae-Streptophyta-Magnoliopsida-Dioscoreales-Dioscoreaceae-Dioscorea-Dioscorea althaeoides,52
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces violaceochromogenes,52
Viridiplantae-Streptophyta-Magnoliopsida-Piperales-Piperaceae-Piper-Piper solmsianum,52
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus limonia,52
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Vincetoxicum-Vincetoxicum glaucescens,52
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Glebionis-Chrysanthemum coronarium,52
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Ichthyothere-Ichthyothere terminalis,52
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Ranunculaceae-Consolida-Consolida orientalis,52
Viridiplantae-Streptophyta-Magnoliopsida-Fagales-Myricaceae-Myrica-Myrica gale,52
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Scrophulariaceae-Scrophularia-Scrophularia lepidota,52
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Scutellaria-Scutellaria galericulata,52
Viridiplantae-Streptophyta-Magnoliopsida-Laurales-Lauraceae-Umbellularia-Umbellularia californica,52
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Asparagaceae-Beaucarnea-Beaucarnea recurvata,52
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Fomitopsidaceae-Rhodofomes-Fomes cajanderi,52
Viridiplantae-Streptophyta-Magnoliopsida-Vitales-Vitaceae-Vitis-Vitis amurensis,52
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Plinia-Plinia cauliflora,52
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Pterogyne-Pterogyne nitens,52
Metazoa-Mollusca-Bivalvia-Ostreida-Ostreidae-Magallana-Crassostrea gigas,52
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Pteridaceae-Adiantum-Adiantum pedatum,52
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Actinidiaceae-Actinidia-Actinidia kolomikta,52
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Goniothalamus-Goniothalamus borneensis,52
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Scrophulariaceae-Verbascum-Verbascum phlomoides,52
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Anthemis-Anthemis cotula,52
Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Enterobacterales-Morganellaceae-Xenorhabdus-Xenorhabdus nematophila,52
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Papaveraceae-Macleaya-Macleaya cordata,52
Viridiplantae-Streptophyta-Magnoliopsida-Dipsacales-Adoxaceae-Sambucus-Sambucus williamsii,52
Pseudomonadati-Pseudomonadota-Alphaproteobacteria-Hyphomicrobiales-Rhizobiaceae-Rhizobium-Rhizobium etli,52
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Physostigma-Physostigma venenosum,52
Fungi-Basidiomycota-Agaricomycetes-Agaricales-Omphalotaceae-Lentinula-Lentinula edodes,52
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Malpighiaceae-Galphimia-Galphimia glauca,52
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Atalantia-Atalantia monophylla,51
Viridiplantae-Streptophyta-Magnoliopsida-Poales-Typhaceae-Typha-Typha orientalis,51
Viridiplantae-Streptophyta-Magnoliopsida-Dioscoreales-Dioscoreaceae-Dioscorea-Dioscorea collettii,51
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Aglaia-Aglaia laxiflora,51
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Cordycipitaceae-Cordyceps-Isaria tenuipes,51
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Malvaceae-Thespesia-Thespesia populnea,51
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Cleomaceae-Rorida-Cleome droserifolia,51
Viridiplantae-Streptophyta-Polypodiopsida-Polypodiales-Dennstaedtiaceae-Microlepia-Microlepia marginata,51
Bacillati-Cyanobacteriota-Cyanophyceae-Nostocales-Nostocaceae-Cylindrospermum-Cylindrospermum muscicola,51
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Trichocomaceae-Talaromyces-Talaromyces stipitatus,51
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Droseraceae-Drosera-Drosera rotundifolia,51
Bacillati-Actinomycetota-Actinomycetes-Mycobacteriales-Nocardiaceae-Nocardia-Nocardia pseudobrasiliensis,51
Metazoa-Chordata-Mammalia-Eulipotyphla-Erinaceidae-Erinaceus-Erinaceus europaeus,51
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Echinops-Echinops bannaticus,51
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Pseudognaphalium-Pseudognaphalium affine,51
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Lactuca-Lactuca tatarica,51
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Phrymaceae-Leucocarpus-Leucocarpus perfoliatus,51
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Centaurea-Centaurea cyanus,51
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Hypocreaceae-Trichoderma-Trichoderma reesei,51
Metazoa-Chordata-Amphibia-Anura-Dendrobatidae-Epipedobates-Epipedobates anthonyi,51
Viridiplantae-Streptophyta-Jungermanniopsida-Jungermanniales-Gymnomitriaceae-Nardia-Nardia scalaris,51
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Sideritis-Sideritis perfoliata,51
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Phyllanthaceae-Moeroris-Phyllanthus amarus,51
